mean_reversion_level,action_threshold,threshold_re,threshold_de,enabled,E[Wealth],Std,Sharpe,Trades,Broke%,Min,Median,Max
50.0,1.5,0.3,1.4,True,405.72479152781614,172.0731952895888,1.7767136305762194,126.12,0.0,28.209377137402043,396.9572109823399,890.4302972961377
50.0,1.5,0.3,1.6,True,241.1872215556707,104.58297637363317,1.3500019453573897,55.26,0.0,47.99510769512926,226.26138879399122,626.2974822195965
50.0,1.5,0.3,1.8,True,127.88755543195293,39.72002614101413,0.7021031489996121,10.03,0.0,66.96357635338615,116.69449894977153,320.0809982692929
50.0,1.5,0.3,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,0.6,0.0,True,904.3979259909001,470.704922396783,1.7089218483099462,483.95,4.0,-347.53598027256794,877.8842261147865,2155.3589307132643
50.0,1.5,0.6,0.2,True,904.3979259909001,470.704922396783,1.7089218483099462,483.95,4.0,-347.53598027256794,877.8842261147865,2155.3589307132643
50.0,1.5,0.6,0.4,True,927.2518663787289,469.61138573064756,1.761566885972418,478.72,4.0,-310.3595794634484,917.0842121405058,2117.9682437704732
50.0,1.5,0.6,0.6,True,946.685737044919,445.03728092845915,1.90250519075283,445.31,4.0,-146.46675865728685,923.3261823895008,2005.592602113838
50.0,1.5,0.6,0.8,True,894.9531315751187,397.52844336855316,1.9997389994006256,382.21,3.0,-129.44744676279242,868.5420677916138,1933.5913250189396
50.0,1.5,0.6,1.0,True,770.2921621263007,333.20988984888413,2.011621451062838,301.51,2.0,-115.41131130449685,729.258045097092,1692.7743205528564
50.0,1.5,0.6,1.2,True,597.8889389282299,253.9904283078554,1.9602665432917465,213.05,2.0,-61.7089007665636,554.860603074479,1241.2521860682118
50.0,1.5,0.6,1.4,True,405.5200338539642,172.0251862293319,1.7760192013201275,126.04,0.0,28.209377137402043,396.9572109823399,890.4302972961377
50.0,1.5,0.6,1.6,True,241.02304443147673,104.60541008555653,1.3481429336793795,55.21,0.0,47.99510769512926,226.26138879399122,626.2974822195965
50.0,1.5,0.6,1.8,True,127.88755543195293,39.72002614101413,0.7021031489996121,10.03,0.0,66.96357635338615,116.69449894977153,320.0809982692929
50.0,1.5,0.6,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,1.5,0.9,0.0,True,336.0686844940018,190.1609901089479,1.2414148893458758,129.49,4.0,-152.55588014524346,336.0413770222981,848.7071303280263
50.0,1.5,0.9,0.2,True,336.0686844940018,190.1609901089479,1.2414148893458758,129.49,4.0,-152.55588014524346,336.0413770222981,848.7071303280263
50.0,1.5,0.9,0.4,True,339.58077149753734,187.16197091583786,1.2800718560784494,127.78,3.0,-148.9456829752903,336.12496657394036,851.4673211253767
50.0,1.5,0.9,0.6,True,338.1498263002891,175.51939527042921,1.3568291181345677,118.2,3.0,-99.41427790262196,325.0440952879735,835.2662070669621
50.0,1.5,0.9,0.8,True,317.17497781495155,157.50502960933756,1.3788447159663053,100.36,3.0,-100.62374566667086,319.4730655025687,721.7188119852058
